,tool,threshold,strain,nFP
0,BioGraph*,10,AKR_J,389
1,BioGraph*,10,A_J,421
2,BioGraph*,10,BALB_CJ,417
3,BioGraph*,10,C3H_HeJ,416
4,BioGraph*,10,CBA_J,445
5,BioGraph*,10,DBA_2J,454
6,BioGraph*,10,LP_J,336
7,BioGraph*,100,AKR_J,176
8,BioGraph*,100,A_J,189
9,BioGraph*,100,BALB_CJ,193
10,BioGraph*,100,C3H_HeJ,206
11,BioGraph*,100,CBA_J,217
12,BioGraph*,100,DBA_2J,214
13,BioGraph*,100,LP_J,153
14,BioGraph*,1000,AKR_J,156
15,BioGraph*,1000,A_J,164
16,BioGraph*,1000,BALB_CJ,168
17,BioGraph*,1000,C3H_HeJ,179
18,BioGraph*,1000,CBA_J,187
19,BioGraph*,1000,DBA_2J,183
20,BioGraph*,1000,LP_J,134
21,BioGraph*,10000,AKR_J,134
22,BioGraph*,10000,A_J,145
23,BioGraph*,10000,BALB_CJ,145
24,BioGraph*,10000,C3H_HeJ,157
25,BioGraph*,10000,CBA_J,162
26,BioGraph*,10000,DBA_2J,158
27,BioGraph*,10000,LP_J,111
28,breakdancer,10,AKR_J,527
29,breakdancer,10,A_J,599
30,breakdancer,10,BALB_CJ,470
31,breakdancer,10,C3H_HeJ,468
32,breakdancer,10,CBA_J,515
33,breakdancer,10,DBA_2J,500
34,breakdancer,10,LP_J,405
35,breakdancer,100,AKR_J,282
36,breakdancer,100,A_J,325
37,breakdancer,100,BALB_CJ,195
38,breakdancer,100,C3H_HeJ,213
39,breakdancer,100,CBA_J,229
40,breakdancer,100,DBA_2J,213
41,breakdancer,100,LP_J,202
42,breakdancer,1000,AKR_J,225
43,breakdancer,1000,A_J,250
44,breakdancer,1000,BALB_CJ,123
45,breakdancer,1000,C3H_HeJ,141
46,breakdancer,1000,CBA_J,139
47,breakdancer,1000,DBA_2J,124
48,breakdancer,1000,LP_J,120
49,breakdancer,10000,AKR_J,211
50,breakdancer,10000,A_J,236
51,breakdancer,10000,BALB_CJ,107
52,breakdancer,10000,C3H_HeJ,128
53,breakdancer,10000,CBA_J,129
54,breakdancer,10000,DBA_2J,104
55,breakdancer,10000,LP_J,105
56,clever,10,AKR_J,9551
57,clever,10,A_J,467
58,clever,10,BALB_CJ,588
59,clever,10,C3H_HeJ,654
60,clever,10,CBA_J,700
61,clever,10,DBA_2J,721
62,clever,10,LP_J,589
63,clever,100,AKR_J,9269
64,clever,100,A_J,175
65,clever,100,BALB_CJ,272
66,clever,100,C3H_HeJ,363
67,clever,100,CBA_J,376
68,clever,100,DBA_2J,383
69,clever,100,LP_J,305
70,clever,1000,AKR_J,9209
71,clever,1000,A_J,124
72,clever,1000,BALB_CJ,219
73,clever,1000,C3H_HeJ,307
74,clever,1000,CBA_J,316
75,clever,1000,DBA_2J,311
76,clever,1000,LP_J,266
77,clever,10000,AKR_J,9117
78,clever,10000,A_J,110
79,clever,10000,BALB_CJ,204
80,clever,10000,C3H_HeJ,289
81,clever,10000,CBA_J,298
82,clever,10000,DBA_2J,283
83,clever,10000,LP_J,254
84,delly,10,AKR_J,854
85,delly,10,A_J,838
86,delly,10,BALB_CJ,881
87,delly,10,C3H_HeJ,932
88,delly,10,CBA_J,1014
89,delly,10,DBA_2J,996
90,delly,10,LP_J,743
91,delly,100,AKR_J,612
92,delly,100,A_J,578
93,delly,100,BALB_CJ,626
94,delly,100,C3H_HeJ,672
95,delly,100,CBA_J,731
96,delly,100,DBA_2J,708
97,delly,100,LP_J,517
98,delly,1000,AKR_J,570
99,delly,1000,A_J,533
100,delly,1000,BALB_CJ,581
101,delly,1000,C3H_HeJ,634
102,delly,1000,CBA_J,680
103,delly,1000,DBA_2J,661
104,delly,1000,LP_J,479
105,delly,10000,AKR_J,518
106,delly,10000,A_J,484
107,delly,10000,BALB_CJ,524
108,delly,10000,C3H_HeJ,576
109,delly,10000,CBA_J,618
110,delly,10000,DBA_2J,587
