tool,threshold,strain,nTP,nFP,nTN,n_true,nFN,sensitivity,precision,specificity,f-score,len
delly,100,A_J,162.0,43.0,1e-05,249,87.0,0.6506024096385542,0.7902439024390244,2.3255808545160803e-07,0.7136563876651983,100_500
gasv,100,A_J,20.0,1535.0,1.0,249,229.0,0.08032128514056225,0.012861736334405145,0.0006510416666666666,0.022172949002217297,100_500
gridss,100,A_J,180.0,58.0,1.0,249,69.0,0.7228915662650602,0.7563025210084033,0.01694915254237288,0.7392197125256673,100_500
indelminer,100,A_J,51.0,9.0,1e-05,249,198.0,0.20481927710843373,0.85,1.1111098765445817e-06,0.33009708737864074,100_500
lumpexpress,100,A_J,147.0,19.0,1e-05,249,102.0,0.5903614457831325,0.8855421686746988,5.263155124655198e-07,0.7084337349397589,100_500
mistrvar,100,A_J,101.0,71.0,1e-05,249,148.0,0.40562248995983935,0.5872093023255814,1.4084505058520414e-07,0.47980997624703087,100_500
pindel,100,A_J,165.0,150.0,2.0,249,84.0,0.6626506024096386,0.5238095238095238,0.013157894736842105,0.5851063829787234,100_500
smoove,100,A_J,153.0,19.0,1e-05,249,96.0,0.6144578313253012,0.8895348837209303,5.263155124655198e-07,0.7268408551068885,100_500
sniffles,100,A_J,90.0,2.0,1e-05,249,159.0,0.3614457831325301,0.9782608695652174,4.9999750001249995e-06,0.5278592375366569,100_500
BioGraph*,100,A_J,147.0,44.0,1e-05,249,102.0,0.5903614457831325,0.7696335078534031,2.2727267561984644e-07,0.6681818181818182,100_500
breakdancer,100,C3H_HeJ,125.0,139.0,1e-05,267,142.0,0.4681647940074906,0.4734848484848485,7.19424408674503e-08,0.4708097928436912,100_500
clever,100,C3H_HeJ,220.0,158.0,1e-05,267,47.0,0.8239700374531835,0.582010582010582,6.329113523473827e-08,0.6821705426356588,100_500
delly,100,C3H_HeJ,172.0,50.0,1.0,267,95.0,0.6441947565543071,0.7747747747747747,0.0196078431372549,0.703476482617587,100_500
gasv,100,C3H_HeJ,18.0,1661.0,1.0,267,249.0,0.06741573033707865,0.01072066706372841,0.0006016847172081829,0.018499486125385402,100_500
gridss,100,C3H_HeJ,189.0,62.0,2.0,267,78.0,0.7078651685393258,0.7529880478087649,0.03125,0.7297297297297297,100_500
indelminer,100,C3H_HeJ,47.0,14.0,1e-05,267,220.0,0.1760299625468165,0.7704918032786885,7.142852040819971e-07,0.28658536585365857,100_500
lumpexpress,100,C3H_HeJ,167.0,24.0,1e-05,267,100.0,0.6254681647940075,0.8743455497382199,4.1666649305562796e-07,0.7292576419213973,100_500
mistrvar,100,C3H_HeJ,94.0,65.0,1e-05,267,173.0,0.352059925093633,0.5911949685534591,1.5384613017751845e-07,0.4413145539906103,100_500
pindel,100,C3H_HeJ,184.0,170.0,4.0,267,83.0,0.6891385767790262,0.519774011299435,0.022988505747126436,0.5925925925925926,100_500
smoove,100,C3H_HeJ,169.0,24.0,1e-05,267,98.0,0.6329588014981273,0.8756476683937824,4.1666649305562796e-07,0.7347826086956522,100_500
sniffles,100,C3H_HeJ,94.0,7.0,1e-05,267,173.0,0.352059925093633,0.9306930693069307,1.4285693877580176e-06,0.5108695652173914,100_500
BioGraph*,100,C3H_HeJ,137.0,43.0,1e-05,267,130.0,0.5131086142322098,0.7611111111111111,2.3255808545160803e-07,0.6129753914988814,100_500
breakdancer,100,CBA_J,156.0,145.0,1e-05,304,148.0,0.5131578947368421,0.5182724252491694,6.896551248513708e-08,0.515702479338843,100_500
clever,100,CBA_J,260.0,175.0,2.0,304,44.0,0.8552631578947368,0.5977011494252874,0.011299435028248588,0.7036535859269284,100_500
delly,100,CBA_J,199.0,55.0,1.0,304,105.0,0.6546052631578947,0.7834645669291339,0.017857142857142856,0.7132616487455197,100_500
gasv,100,CBA_J,31.0,1425.0,1.0,304,273.0,0.10197368421052631,0.021291208791208792,0.0007012622720897616,0.03522727272727273,100_500
gridss,100,CBA_J,212.0,61.0,3.0,304,92.0,0.6973684210526315,0.7765567765567766,0.046875,0.7348353552859618,100_500
indelminer,100,CBA_J,81.0,16.0,1.0,304,223.0,0.26644736842105265,0.8350515463917526,0.058823529411764705,0.40399002493765584,100_500
lumpexpress,100,CBA_J,196.0,21.0,1e-05,304,108.0,0.6447368421052632,0.9032258064516129,4.761902494332146e-07,0.7523992322456813,100_500
mistrvar,100,CBA_J,111.0,57.0,1e-05,304,193.0,0.3651315789473684,0.6607142857142857,1.7543856571253234e-07,0.4703389830508474,100_500
pindel,100,CBA_J,198.0,165.0,5.0,304,106.0,0.6513157894736842,0.5454545454545454,0.029411764705882353,0.5937031484257871,100_500
smoove,100,CBA_J,201.0,20.0,1e-05,304,103.0,0.6611842105263158,0.9095022624434389,4.999997500001251e-07,0.7657142857142857,100_500
sniffles,100,CBA_J,116.0,8.0,1e-05,304,188.0,0.3815789473684211,0.9354838709677419,1.2499984375019533e-06,0.5420560747663552,100_500
BioGraph*,100,CBA_J,157.0,40.0,1e-05,304,147.0,0.5164473684210527,0.7969543147208121,2.4999993750001564e-07,0.6267465069860281,100_500
breakdancer,100,DBA_2J,152.0,142.0,1e-05,315,163.0,0.48253968253968255,0.5170068027210885,7.042253025193449e-08,0.4991789819376027,100_500
clever,100,DBA_2J,262.0,193.0,1.0,315,53.0,0.8317460317460318,0.5758241758241758,0.005154639175257732,0.6805194805194805,100_500
delly,100,DBA_2J,197.0,56.0,1.0,315,118.0,0.6253968253968254,0.7786561264822134,0.017543859649122806,0.6936619718309859,100_500
gasv,100,DBA_2J,33.0,1391.0,1.0,315,282.0,0.10476190476190476,0.023174157303370788,0.0007183908045977011,0.03795284646348476,100_500
gridss,100,DBA_2J,220.0,68.0,2.0,315,95.0,0.6984126984126984,0.7638888888888888,0.02857142857142857,0.7296849087893864,100_500
indelminer,100,DBA_2J,75.0,19.0,1.0,315,240.0,0.23809523809523808,0.7978723404255319,0.05,0.3667481662591687,100_500
lumpexpress,100,DBA_2J,197.0,20.0,1e-05,315,118.0,0.6253968253968254,0.9078341013824884,4.999997500001251e-07,0.7406015037593985,100_500
mistrvar,100,DBA_2J,104.0,57.0,1e-05,315,211.0,0.33015873015873015,0.6459627329192547,1.7543856571253234e-07,0.4369747899159664,100_500
pindel,100,DBA_2J,199.0,166.0,4.0,315,116.0,0.6317460317460317,0.5452054794520548,0.023529411764705882,0.5852941176470589,100_500
smoove,100,DBA_2J,202.0,21.0,1e-05,315,113.0,0.6412698412698413,0.905829596412556,4.761902494332146e-07,0.7509293680297399,100_500
sniffles,100,DBA_2J,91.0,7.0,1e-05,315,224.0,0.28888888888888886,0.9285714285714286,1.4285693877580176e-06,0.44067796610169485,100_500
BioGraph*,100,DBA_2J,161.0,40.0,1e-05,315,154.0,0.5111111111111111,0.8009950248756219,2.4999993750001564e-07,0.624031007751938,100_500
breakdancer,100,LP_J,87.0,134.0,1e-05,228,141.0,0.3815789473684211,0.3936651583710407,7.462686010247312e-08,0.38752783964365256,100_500
clever,100,LP_J,200.0,155.0,1e-05,228,28.0,0.8771929824561403,0.5633802816901409,6.451612486992743e-08,0.6861063464837049,100_500
delly,100,LP_J,138.0,27.0,1e-05,228,90.0,0.6052631578947368,0.8363636363636363,3.7037023319620994e-07,0.7022900763358779,100_500
gasv,100,LP_J,17.0,1441.0,1e-05,228,211.0,0.07456140350877193,0.011659807956104253,6.939625212077549e-09,0.020166073546856463,100_500
gridss,100,LP_J,153.0,54.0,1.0,228,75.0,0.6710526315789473,0.7391304347826086,0.01818181818181818,0.7034482758620689,100_500
indelminer,100,LP_J,54.0,18.0,1e-05,228,174.0,0.23684210526315788,0.75,5.555552469137518e-07,0.36,100_500
lumpexpress,100,LP_J,141.0,20.0,1e-05,228,87.0,0.618421052631579,0.8757763975155279,4.999997500001251e-07,0.724935732647815,100_500
mistrvar,100,LP_J,71.0,43.0,1e-05,228,157.0,0.31140350877192985,0.6228070175438597,2.3255808545160803e-07,0.41520467836257313,100_500
pindel,100,LP_J,136.0,155.0,2.0,228,92.0,0.5964912280701754,0.46735395189003437,0.012738853503184714,0.5240847784200385,100_500
smoove,100,LP_J,140.0,23.0,1e-05,228,88.0,0.6140350877192983,0.8588957055214724,4.3478241965981756e-07,0.7161125319693095,100_500
sniffles,100,LP_J,59.0,5.0,1e-05,228,169.0,0.25877192982456143,0.921875,1.9999960000080004e-06,0.40410958904109595,100_500
BioGraph*,100,LP_J,109.0,28.0,1e-05,228,119.0,0.4780701754385965,0.7956204379562044,3.571427295918823e-07,0.5972602739726027,100_500
