tool,threshold,strain,nTP,nFP,nTN,n_true,nFN,sensitivity,precision,specificity,f-score,len
breakdancer,100,AKR_J,113.0,182.0,1e-05,234,121.0,0.4829059829059829,0.38305084745762713,5.4945051926096054e-08,0.4272211720226843,100_500
clever,100,AKR_J,202.0,3771.0,1e-05,234,32.0,0.8632478632478633,0.050843191542914674,2.6518164872664637e-09,0.09603042548134061,100_500
delly,100,AKR_J,154.0,46.0,1e-05,234,80.0,0.6581196581196581,0.77,2.1739125708885717e-07,0.7096774193548387,100_500
gasv,100,AKR_J,16.0,1673.0,1e-05,234,218.0,0.06837606837606838,0.009473060982830076,5.977286276286394e-09,0.016640665626625063,100_500
gridss,100,AKR_J,169.0,39.0,1.0,234,65.0,0.7222222222222222,0.8125,0.025,0.7647058823529411,100_500
indelminer,100,AKR_J,60.0,17.0,1.0,234,174.0,0.2564102564102564,0.7792207792207793,0.05555555555555555,0.3858520900321543,100_500
lumpexpress,100,AKR_J,148.0,17.0,1e-05,234,86.0,0.6324786324786325,0.896969696969697,5.882349480970894e-07,0.7418546365914787,100_500
mistrvar,100,AKR_J,88.0,62.0,1e-05,234,146.0,0.37606837606837606,0.5866666666666667,1.612902965660812e-07,0.4583333333333333,100_500
pindel,100,AKR_J,152.0,170.0,2.0,234,82.0,0.6495726495726496,0.4720496894409938,0.011627906976744186,0.5467625899280576,100_500
smoove,100,AKR_J,153.0,18.0,1e-05,234,81.0,0.6538461538461539,0.8947368421052632,5.555552469137518e-07,0.7555555555555555,100_500
sniffles,100,AKR_J,45.0,6.0,1e-05,234,189.0,0.19230769230769232,0.8823529411764706,1.6666638888935187e-06,0.31578947368421056,100_500
BioGraph*,100,AKR_J,131.0,41.0,1e-05,234,103.0,0.5598290598290598,0.7616279069767442,2.43902379536005e-07,0.645320197044335,100_500
breakdancer,100,A_J,141.0,266.0,1e-05,249,108.0,0.5662650602409639,0.3464373464373464,3.759398354909837e-08,0.42987804878048785,100_500
clever,100,A_J,206.0,102.0,1e-05,249,43.0,0.8273092369477911,0.6688311688311688,9.803920607458764e-08,0.7396768402154398,100_500
