,tool,threshold,strain,nTP
159,gridss,10000,DBA_2J,562
160,gridss,10000,LP_J,446
161,indelminer,10,AKR_J,14
162,indelminer,10,A_J,13
163,indelminer,10,BALB_CJ,13
164,indelminer,10,C3H_HeJ,6
165,indelminer,10,CBA_J,17
166,indelminer,10,DBA_2J,13
167,indelminer,10,LP_J,15
168,indelminer,100,AKR_J,82
169,indelminer,100,A_J,68
170,indelminer,100,BALB_CJ,57
171,indelminer,100,C3H_HeJ,57
172,indelminer,100,CBA_J,98
173,indelminer,100,DBA_2J,91
174,indelminer,100,LP_J,67
175,indelminer,1000,AKR_J,181
176,indelminer,1000,A_J,147
177,indelminer,1000,BALB_CJ,144
178,indelminer,1000,C3H_HeJ,137
179,indelminer,1000,CBA_J,228
180,indelminer,1000,DBA_2J,224
181,indelminer,1000,LP_J,189
182,indelminer,10000,AKR_J,305
183,indelminer,10000,A_J,226
184,indelminer,10000,BALB_CJ,247
185,indelminer,10000,C3H_HeJ,225
186,indelminer,10000,CBA_J,377
187,indelminer,10000,DBA_2J,358
188,indelminer,10000,LP_J,347
189,mistrvar,10,AKR_J,17
190,mistrvar,10,A_J,23
191,mistrvar,10,BALB_CJ,21
192,mistrvar,10,C3H_HeJ,19
193,mistrvar,10,CBA_J,26
194,mistrvar,10,DBA_2J,23
195,mistrvar,10,LP_J,18
196,mistrvar,100,AKR_J,110
197,mistrvar,100,A_J,136
198,mistrvar,100,BALB_CJ,122
199,mistrvar,100,C3H_HeJ,118
200,mistrvar,100,CBA_J,138
201,mistrvar,100,DBA_2J,138
202,mistrvar,100,LP_J,97
203,mistrvar,1000,AKR_J,195
204,mistrvar,1000,A_J,213
205,mistrvar,1000,BALB_CJ,202
206,mistrvar,1000,C3H_HeJ,212
207,mistrvar,1000,CBA_J,244
208,mistrvar,1000,DBA_2J,240
209,mistrvar,1000,LP_J,183
210,mistrvar,10000,AKR_J,444
211,mistrvar,10000,A_J,470
212,mistrvar,10000,BALB_CJ,490
213,mistrvar,10000,C3H_HeJ,482
214,mistrvar,10000,CBA_J,527
215,mistrvar,10000,DBA_2J,537
216,mistrvar,10000,LP_J,430
217,pindel,10,AKR_J,46
218,pindel,10,A_J,51
219,pindel,10,BALB_CJ,46
220,pindel,10,C3H_HeJ,44
221,pindel,10,CBA_J,50
222,pindel,10,DBA_2J,50
223,pindel,10,LP_J,43
224,pindel,100,AKR_J,223
225,pindel,100,A_J,235
226,pindel,100,BALB_CJ,223
227,pindel,100,C3H_HeJ,247
228,pindel,100,CBA_J,269
229,pindel,100,DBA_2J,278
230,pindel,100,LP_J,195
231,pindel,1000,AKR_J,363
232,pindel,1000,A_J,382
233,pindel,1000,BALB_CJ,363
234,pindel,1000,C3H_HeJ,391
235,pindel,1000,CBA_J,445
236,pindel,1000,DBA_2J,456
237,pindel,1000,LP_J,340
238,pindel,10000,AKR_J,502
239,pindel,10000,A_J,530
240,pindel,10000,BALB_CJ,502
241,pindel,10000,C3H_HeJ,535
242,pindel,10000,CBA_J,584
243,pindel,10000,DBA_2J,607
244,pindel,10000,LP_J,480
245,popdel,10,AKR_J,4
246,popdel,10,A_J,5
247,popdel,10,BALB_CJ,14
248,popdel,10,C3H_HeJ,9
249,popdel,10,CBA_J,14
250,popdel,10,DBA_2J,14
251,popdel,10,LP_J,6
252,popdel,100,AKR_J,164
253,popdel,100,A_J,164
254,popdel,100,BALB_CJ,179
255,popdel,100,C3H_HeJ,192
256,popdel,100,CBA_J,198
257,popdel,100,DBA_2J,207
258,popdel,100,LP_J,173
259,popdel,1000,AKR_J,205
260,popdel,1000,A_J,202
261,popdel,1000,BALB_CJ,217
262,popdel,1000,C3H_HeJ,226
263,popdel,1000,CBA_J,238
264,popdel,1000,DBA_2J,252
265,popdel,1000,LP_J,210
266,popdel,10000,AKR_J,208
267,popdel,10000,A_J,205
268,popdel,10000,BALB_CJ,220
269,popdel,10000,C3H_HeJ,229
270,popdel,10000,CBA_J,242
271,popdel,10000,DBA_2J,258
272,popdel,10000,LP_J,215
273,rdxplorer,10,AKR_J,6
274,rdxplorer,10,A_J,5
275,rdxplorer,10,BALB_CJ,4
276,rdxplorer,10,C3H_HeJ,4
277,rdxplorer,10,CBA_J,5
278,rdxplorer,10,DBA_2J,4
279,rdxplorer,10,LP_J,4
280,rdxplorer,100,AKR_J,93
281,rdxplorer,100,A_J,76
282,rdxplorer,100,BALB_CJ,130
283,rdxplorer,100,C3H_HeJ,150
284,rdxplorer,100,CBA_J,151
285,rdxplorer,100,DBA_2J,154
286,rdxplorer,100,LP_J,132
287,rdxplorer,1000,AKR_J,182
288,rdxplorer,1000,A_J,169
289,rdxplorer,1000,BALB_CJ,229
290,rdxplorer,1000,C3H_HeJ,255
291,rdxplorer,1000,CBA_J,264
292,rdxplorer,1000,DBA_2J,274
293,rdxplorer,1000,LP_J,227
294,rdxplorer,10000,AKR_J,374
295,rdxplorer,10000,A_J,388
296,rdxplorer,10000,BALB_CJ,405
297,rdxplorer,10000,C3H_HeJ,408
298,rdxplorer,10000,CBA_J,450
299,rdxplorer,10000,DBA_2J,461
300,rdxplorer,10000,LP_J,393
301,smoove,10,AKR_J,86
302,smoove,10,A_J,94
303,smoove,10,BALB_CJ,90
304,smoove,10,C3H_HeJ,103
305,smoove,10,CBA_J,106
306,smoove,10,DBA_2J,110
307,smoove,10,LP_J,78
308,smoove,100,AKR_J,299
309,smoove,100,A_J,314
310,smoove,100,BALB_CJ,320
311,smoove,100,C3H_HeJ,321
312,smoove,100,CBA_J,356
313,smoove,100,DBA_2J,358
314,smoove,100,LP_J,281
315,smoove,1000,AKR_J,325
316,smoove,1000,A_J,345
317,smoove,1000,BALB_CJ,355
318,smoove,1000,C3H_HeJ,351
319,smoove,1000,CBA_J,384
320,smoove,1000,DBA_2J,389
321,smoove,1000,LP_J,315
322,smoove,10000,AKR_J,341
323,smoove,10000,A_J,361
324,smoove,10000,BALB_CJ,375
325,smoove,10000,C3H_HeJ,372
326,smoove,10000,CBA_J,406
327,smoove,10000,DBA_2J,415
328,smoove,10000,LP_J,331
329,sniffles,10,AKR_J,24
330,sniffles,10,A_J,58
331,sniffles,10,BALB_CJ,55
332,sniffles,10,C3H_HeJ,63
333,sniffles,10,CBA_J,71
334,sniffles,10,DBA_2J,67
335,sniffles,10,LP_J,44
336,sniffles,100,AKR_J,77
337,sniffles,100,A_J,149
338,sniffles,100,BALB_CJ,158
339,sniffles,100,C3H_HeJ,161
340,sniffles,100,CBA_J,183
341,sniffles,100,DBA_2J,166
342,sniffles,100,LP_J,121
343,sniffles,1000,AKR_J,84
344,sniffles,1000,A_J,154
345,sniffles,1000,BALB_CJ,166
346,sniffles,1000,C3H_HeJ,168
347,sniffles,1000,CBA_J,193
348,sniffles,1000,DBA_2J,175
349,sniffles,1000,LP_J,129
350,sniffles,10000,AKR_J,100
351,sniffles,10000,A_J,166
352,sniffles,10000,BALB_CJ,180
353,sniffles,10000,C3H_HeJ,190
354,sniffles,10000,CBA_J,210
355,sniffles,10000,DBA_2J,196
356,sniffles,10000,LP_J,143
