tool,threshold,strain,nTP,nFP,nTN,n_true,nFN,sensitivity,precision,specificity,f-score,len
breakdancer,100,AKR_J,47.0,26.0,5.0,83,36.0,0.5662650602409639,0.6438356164383562,0.16129032258064516,0.6025641025641025,500_1000
clever,100,AKR_J,31.0,4.0,10.0,83,52.0,0.37349397590361444,0.8857142857142857,0.7142857142857143,0.5254237288135593,500_1000
delly,100,AKR_J,42.0,25.0,10.0,83,41.0,0.5060240963855421,0.6268656716417911,0.2857142857142857,0.5599999999999999,500_1000
gasv,100,AKR_J,19.0,349.0,1.0,83,64.0,0.2289156626506024,0.051630434782608696,0.002857142857142857,0.08425720620842574,500_1000
gridss,100,AKR_J,41.0,15.0,6.0,83,42.0,0.4939759036144578,0.7321428571428571,0.2857142857142857,0.5899280575539567,500_1000
indelminer,100,AKR_J,3.0,9.0,1e-05,83,80.0,0.03614457831325301,0.25,1.1111098765445817e-06,0.06315789473684211,500_1000
lumpexpress,100,AKR_J,39.0,14.0,1e-05,83,44.0,0.46987951807228917,0.7358490566037735,7.142852040819971e-07,0.5735294117647058,500_1000
mistrvar,100,AKR_J,3.0,3.0,1.0,83,80.0,0.03614457831325301,0.5,0.25,0.06741573033707865,500_1000
pindel,100,AKR_J,38.0,9.0,1.0,83,45.0,0.4578313253012048,0.8085106382978723,0.1,0.5846153846153845,500_1000
smoove,100,AKR_J,38.0,13.0,8.0,83,45.0,0.4578313253012048,0.7450980392156863,0.38095238095238093,0.5671641791044776,500_1000
sniffles,100,AKR_J,5.0,2.0,1e-05,83,78.0,0.060240963855421686,0.7142857142857143,4.9999750001249995e-06,0.1111111111111111,500_1000
BioGraph*,100,AKR_J,1e-05,1e-05,1e-05,83,82.99999,1.204819277108434e-07,0.5,0.5,2.409637973581212e-07,500_1000
breakdancer,100,A_J,41.0,15.0,4.0,74,33.0,0.5540540540540541,0.7321428571428571,0.21052631578947367,0.6307692307692307,500_1000
clever,100,A_J,36.0,9.0,8.0,74,38.0,0.4864864864864865,0.8,0.47058823529411764,0.6050420168067226,500_1000
delly,100,A_J,41.0,36.0,6.0,74,33.0,0.5540540540540541,0.5324675324675324,0.14285714285714285,0.543046357615894,500_1000
gasv,100,A_J,17.0,102.0,1.0,74,57.0,0.22972972972972974,0.14285714285714285,0.009708737864077669,0.17616580310880825,500_1000
gridss,100,A_J,36.0,27.0,4.0,74,38.0,0.4864864864864865,0.5714285714285714,0.12903225806451613,0.5255474452554744,500_1000
indelminer,100,A_J,2.0,4.0,1e-05,74,72.0,0.02702702702702703,0.3333333333333333,2.4999937500156254e-06,0.05,500_1000
lumpexpress,100,A_J,36.0,14.0,4.0,74,38.0,0.4864864864864865,0.72,0.2222222222222222,0.5806451612903226,500_1000
mistrvar,100,A_J,1.0,1.0,1e-05,74,73.0,0.013513513513513514,0.5,9.99990000099999e-06,0.026315789473684213,500_1000
pindel,100,A_J,34.0,11.0,1e-05,74,40.0,0.4594594594594595,0.7555555555555555,9.090900826453795e-07,0.5714285714285715,500_1000
smoove,100,A_J,38.0,13.0,4.0,74,36.0,0.5135135135135135,0.7450980392156863,0.23529411764705882,0.6079999999999999,500_1000
sniffles,100,A_J,14.0,1.0,1e-05,74,60.0,0.1891891891891892,0.9333333333333333,9.99990000099999e-06,0.3146067415730337,500_1000
BioGraph*,100,A_J,1e-05,1e-05,1e-05,74,73.99999,1.3513513513513515e-07,0.5,0.5,2.7027019722427105e-07,500_1000
breakdancer,100,C3H_HeJ,45.0,18.0,3.0,80,35.0,0.5625,0.7142857142857143,0.14285714285714285,0.6293706293706294,500_1000
clever,100,C3H_HeJ,36.0,7.0,10.0,80,44.0,0.45,0.8372093023255814,0.5882352941176471,0.5853658536585366,500_1000
delly,100,C3H_HeJ,46.0,25.0,9.0,80,34.0,0.575,0.647887323943662,0.2647058823529412,0.609271523178808,500_1000
gasv,100,C3H_HeJ,23.0,147.0,1.0,80,57.0,0.2875,0.13529411764705881,0.006756756756756757,0.18400000000000002,500_1000
gridss,100,C3H_HeJ,36.0,18.0,7.0,80,44.0,0.45,0.6666666666666666,0.28,0.5373134328358209,500_1000
indelminer,100,C3H_HeJ,2.0,2.0,1e-05,80,78.0,0.025,0.5,4.9999750001249995e-06,0.047619047619047616,500_1000
lumpexpress,100,C3H_HeJ,39.0,16.0,8.0,80,41.0,0.4875,0.7090909090909091,0.3333333333333333,0.5777777777777778,500_1000
mistrvar,100,C3H_HeJ,2.0,1.0,1e-05,80,78.0,0.025,0.6666666666666666,9.99990000099999e-06,0.04819277108433735,500_1000
pindel,100,C3H_HeJ,34.0,9.0,1.0,80,46.0,0.425,0.7906976744186046,0.1,0.5528455284552846,500_1000
smoove,100,C3H_HeJ,38.0,17.0,8.0,80,42.0,0.475,0.6909090909090909,0.32,0.5629629629629629,500_1000
sniffles,100,C3H_HeJ,18.0,3.0,1e-05,80,62.0,0.225,0.8571428571428571,3.3333222222592593e-06,0.3564356435643564,500_1000
BioGraph*,100,C3H_HeJ,1e-05,1e-05,1e-05,80,79.99999,1.2500000000000002e-07,0.5,0.5,2.4999993750001564e-07,500_1000
breakdancer,100,DBA_2J,47.0,25.0,3.0,91,44.0,0.5164835164835165,0.6527777777777778,0.10714285714285714,0.5766871165644172,500_1000
clever,100,DBA_2J,41.0,8.0,9.0,91,50.0,0.45054945054945056,0.8367346938775511,0.5294117647058824,0.5857142857142857,500_1000
delly,100,DBA_2J,47.0,31.0,5.0,91,44.0,0.5164835164835165,0.6025641025641025,0.1388888888888889,0.5562130177514794,500_1000
gasv,100,DBA_2J,28.0,172.0,1.0,91,63.0,0.3076923076923077,0.14,0.005780346820809248,0.19243986254295534,500_1000
gridss,100,DBA_2J,38.0,21.0,7.0,91,53.0,0.4175824175824176,0.6440677966101694,0.25,0.5066666666666667,500_1000
indelminer,100,DBA_2J,3.0,4.0,1.0,91,88.0,0.03296703296703297,0.42857142857142855,0.2,0.061224489795918366,500_1000
lumpexpress,100,DBA_2J,40.0,21.0,8.0,91,51.0,0.43956043956043955,0.6557377049180327,0.27586206896551724,0.5263157894736842,500_1000
mistrvar,100,DBA_2J,3.0,1.0,1e-05,91,88.0,0.03296703296703297,0.75,9.99990000099999e-06,0.06315789473684211,500_1000
