tool,threshold,strain,nTP,nFP,nTN,n_true,nFN,sensitivity,precision,specificity,f-score,len
indelminer,100,C3H_HeJ,3.0,0.0,1.0,149,146.0,0.020134228187919462,1.0,1.0,0.03947368421052631,1000_
lumpexpress,100,C3H_HeJ,100.0,56.0,113.0,149,49.0,0.6711409395973155,0.6410256410256411,0.6686390532544378,0.6557377049180328,1000_
smoove,100,C3H_HeJ,96.0,45.0,176.0,149,53.0,0.6442953020134228,0.6808510638297872,0.7963800904977375,0.6620689655172413,1000_
sniffles,100,C3H_HeJ,42.0,6.0,49.0,149,107.0,0.28187919463087246,0.875,0.8909090909090909,0.42639593908629436,1000_
BioGraph*,100,C3H_HeJ,76.0,16.0,104.0,149,73.0,0.5100671140939598,0.8260869565217391,0.8666666666666667,0.6307053941908715,1000_
mistrvar,100,C3H_HeJ,0.0,0.0,3.0,149,149.0,0.0,0.0,1.0,0.0,1000_
pindel,100,C3H_HeJ,0.0,0.0,2.0,149,149.0,0.0,0.0,1.0,0.0,1000_
platypus,100,C3H_HeJ,0.0,0.0,0.0,149,149.0,0.0,0.0,0.0,0.0,1000_
breakdancer,100,DBA_2J,96.0,46.0,142.0,149,53.0,0.6442953020134228,0.676056338028169,0.7553191489361702,0.6597938144329897,1000_
clever,100,DBA_2J,78.0,8.0,226.0,149,71.0,0.5234899328859061,0.9069767441860465,0.9658119658119658,0.6638297872340426,1000_
delly,100,DBA_2J,106.0,88.0,105.0,149,43.0,0.7114093959731543,0.5463917525773195,0.5440414507772021,0.618075801749271,1000_
gasv,100,DBA_2J,46.0,8595.0,6.0,149,103.0,0.3087248322147651,0.005323457933109594,0.0006975933031042902,0.010466439135381114,1000_
gridss,100,DBA_2J,98.0,75.0,41.0,149,51.0,0.6577181208053692,0.5664739884393064,0.35344827586206895,0.6086956521739132,1000_
indelminer,100,DBA_2J,4.0,3.0,1.0,149,145.0,0.026845637583892617,0.5714285714285714,0.25,0.05128205128205129,1000_
lumpexpress,100,DBA_2J,100.0,54.0,125.0,149,49.0,0.6711409395973155,0.6493506493506493,0.6983240223463687,0.6600660066006602,1000_
smoove,100,DBA_2J,100.0,36.0,188.0,149,49.0,0.6711409395973155,0.7352941176470589,0.8392857142857143,0.7017543859649124,1000_
sniffles,100,DBA_2J,52.0,3.0,48.0,149,97.0,0.348993288590604,0.9454545454545454,0.9411764705882353,0.5098039215686274,1000_
BioGraph*,100,DBA_2J,82.0,19.0,117.0,149,67.0,0.5503355704697986,0.8118811881188119,0.8602941176470589,0.6559999999999999,1000_
mistrvar,100,DBA_2J,0.0,0.0,5.0,149,149.0,0.0,0.0,1.0,0.0,1000_
pindel,100,DBA_2J,0.0,0.0,0.0,149,149.0,0.0,0.0,0.0,0.0,1000_
platypus,100,DBA_2J,0.0,0.0,0.0,149,149.0,0.0,0.0,0.0,0.0,1000_
breakdancer,100,LP_J,90.0,54.0,89.0,139,49.0,0.6474820143884892,0.625,0.6223776223776224,0.6360424028268551,1000_
clever,100,LP_J,79.0,4.0,175.0,139,60.0,0.5683453237410072,0.9518072289156626,0.9776536312849162,0.7117117117117118,1000_
delly,100,LP_J,104.0,74.0,94.0,139,35.0,0.7482014388489209,0.5842696629213483,0.5595238095238095,0.6561514195583596,1000_
gasv,100,LP_J,35.0,9643.0,3.0,139,104.0,0.2517985611510791,0.0036164496796858856,0.0003110097449720091,0.0071304879291025774,1000_
gridss,100,LP_J,97.0,73.0,33.0,139,42.0,0.697841726618705,0.5705882352941176,0.3113207547169811,0.627831715210356,1000_
indelminer,100,LP_J,5.0,0.0,0.0,139,134.0,0.03597122302158273,1.0,0.0,0.06944444444444445,1000_
lumpexpress,100,LP_J,98.0,46.0,121.0,139,41.0,0.7050359712230215,0.6805555555555556,0.7245508982035929,0.6925795053003534,1000_
smoove,100,LP_J,96.0,38.0,158.0,139,43.0,0.6906474820143885,0.7164179104477612,0.8061224489795918,0.7032967032967034,1000_
sniffles,100,LP_J,48.0,9.0,23.0,139,91.0,0.34532374100719426,0.8421052631578947,0.71875,0.4897959183673469,1000_
BioGraph*,100,LP_J,78.0,12.0,78.0,139,61.0,0.5611510791366906,0.8666666666666667,0.8666666666666667,0.6812227074235807,1000_
mistrvar,100,LP_J,0.0,0.0,5.0,139,139.0,0.0,0.0,1.0,0.0,1000_
pindel,100,LP_J,0.0,0.0,2.0,139,139.0,0.0,0.0,1.0,0.0,1000_
platypus,100,LP_J,0.0,0.0,0.0,139,139.0,0.0,0.0,0.0,0.0,1000_
breakdancer,100,CBA_J,90.0,65.0,160.0,144,54.0,0.625,0.5806451612903226,0.7111111111111111,0.6020066889632107,1000_
clever,100,CBA_J,79.0,6.0,218.0,144,65.0,0.5486111111111112,0.9294117647058824,0.9732142857142857,0.6899563318777293,1000_
delly,100,CBA_J,104.0,103.0,105.0,144,40.0,0.7222222222222222,0.5024154589371981,0.5048076923076923,0.5925925925925926,1000_
gasv,100,CBA_J,44.0,9484.0,5.0,144,100.0,0.3055555555555556,0.004617968094038623,0.0005269259142164611,0.009098428453267164,1000_
gridss,100,CBA_J,96.0,88.0,40.0,144,48.0,0.6666666666666666,0.5217391304347826,0.3125,0.5853658536585366,1000_
indelminer,100,CBA_J,7.0,3.0,1.0,144,137.0,0.04861111111111111,0.7,0.25,0.0909090909090909,1000_
lumpexpress,100,CBA_J,101.0,59.0,126.0,144,43.0,0.7013888888888888,0.63125,0.6810810810810811,0.6644736842105262,1000_
smoove,100,CBA_J,99.0,45.0,199.0,144,45.0,0.6875,0.6875,0.8155737704918032,0.6875,1000_
sniffles,100,CBA_J,45.0,12.0,62.0,144,99.0,0.3125,0.7894736842105263,0.8378378378378378,0.44776119402985076,1000_
BioGraph*,100,CBA_J,75.0,16.0,108.0,144,69.0,0.5208333333333334,0.8241758241758241,0.8709677419354839,0.6382978723404257,1000_
mistrvar,100,CBA_J,0.0,0.0,4.0,144,144.0,0.0,0.0,1.0,0.0,1000_
pindel,100,CBA_J,0.0,0.0,1.0,144,144.0,0.0,0.0,1.0,0.0,1000_
platypus,100,CBA_J,0.0,0.0,0.0,144,144.0,0.0,0.0,0.0,0.0,1000_
