tool,threshold,strain,nTP,nFP,nTN,n_true,nFN,sensitivity,precision,specificity,f-score,len
breakdancer,100,AKR_J,94.0,74.0,113.0,140,46.0,0.6714285714285714,0.5595238095238095,0.6042780748663101,0.6103896103896104,1000_
clever,100,AKR_J,73.0,8.0,24.0,140,67.0,0.5214285714285715,0.9012345679012346,0.75,0.660633484162896,1000_
delly,100,AKR_J,98.0,98.0,99.0,140,42.0,0.7,0.5,0.5025380710659898,0.5833333333333334,1000_
gasv,100,AKR_J,33.0,10065.0,3.0,140,107.0,0.2357142857142857,0.0032679738562091504,0.0002979737783075089,0.006446571596014847,1000_
gridss,100,AKR_J,89.0,104.0,44.0,140,51.0,0.6357142857142857,0.46113989637305697,0.2972972972972973,0.5345345345345346,1000_
indelminer,100,AKR_J,9.0,3.0,0.0,140,131.0,0.06428571428571428,0.75,0.0,0.11842105263157894,1000_
lumpexpress,100,AKR_J,95.0,73.0,0.0,140,45.0,0.6785714285714286,0.5654761904761905,0.0,0.6168831168831169,1000_
smoove,100,AKR_J,94.0,58.0,171.0,140,46.0,0.6714285714285714,0.618421052631579,0.7467248908296943,0.6438356164383561,1000_
sniffles,100,AKR_J,23.0,12.0,12.0,140,117.0,0.16428571428571428,0.6571428571428571,0.5,0.2628571428571429,1000_
BioGraph*,100,AKR_J,72.0,15.0,105.0,140,68.0,0.5142857142857142,0.8275862068965517,0.875,0.6343612334801763,1000_
mistrvar,100,AKR_J,0.0,0.0,3.0,140,140.0,0.0,0.0,1.0,0.0,1000_
pindel,100,AKR_J,0.0,0.0,0.0,140,140.0,0.0,0.0,0.0,0.0,1000_
platypus,100,AKR_J,0.0,0.0,0.0,140,140.0,0.0,0.0,0.0,0.0,1000_
breakdancer,100,A_J,103.0,44.0,129.0,158,55.0,0.6518987341772152,0.7006802721088435,0.7456647398843931,0.6754098360655738,1000_
clever,100,A_J,88.0,11.0,229.0,158,70.0,0.5569620253164557,0.8888888888888888,0.9541666666666667,0.6848249027237354,1000_
delly,100,A_J,113.0,74.0,117.0,158,45.0,0.7151898734177216,0.6042780748663101,0.612565445026178,0.6550724637681159,1000_
gasv,100,A_J,46.0,9964.0,2.0,158,112.0,0.2911392405063291,0.004595404595404595,0.0002006823198876179,0.00904799370574351,1000_
gridss,100,A_J,106.0,70.0,41.0,158,52.0,0.6708860759493671,0.6022727272727273,0.36936936936936937,0.6347305389221557,1000_
indelminer,100,A_J,9.0,4.0,1.0,158,149.0,0.056962025316455694,0.6923076923076923,0.2,0.10526315789473684,1000_
lumpexpress,100,A_J,110.0,43.0,124.0,158,48.0,0.6962025316455697,0.7189542483660131,0.7425149700598802,0.707395498392283,1000_
smoove,100,A_J,107.0,31.0,179.0,158,51.0,0.6772151898734177,0.7753623188405797,0.8523809523809524,0.7229729729729729,1000_
sniffles,100,A_J,42.0,4.0,32.0,158,116.0,0.26582278481012656,0.9130434782608695,0.8888888888888888,0.4117647058823529,1000_
BioGraph*,100,A_J,87.0,20.0,129.0,158,71.0,0.5506329113924051,0.8130841121495327,0.8657718120805369,0.6566037735849057,1000_
mistrvar,100,A_J,0.0,0.0,5.0,158,158.0,0.0,0.0,1.0,0.0,1000_
pindel,100,A_J,0.0,0.0,2.0,158,158.0,0.0,0.0,1.0,0.0,1000_
platypus,100,A_J,0.0,0.0,0.0,158,158.0,0.0,0.0,0.0,0.0,1000_
breakdancer,100,C3H_HeJ,96.0,56.0,138.0,149,53.0,0.6442953020134228,0.631578947368421,0.711340206185567,0.6378737541528239,1000_
clever,100,C3H_HeJ,85.0,10.0,201.0,149,64.0,0.5704697986577181,0.8947368421052632,0.95260663507109,0.6967213114754098,1000_
delly,100,C3H_HeJ,103.0,96.0,96.0,149,46.0,0.6912751677852349,0.5175879396984925,0.5,0.5919540229885057,1000_
gasv,100,C3H_HeJ,35.0,11101.0,3.0,149,114.0,0.2348993288590604,0.0031429597701149426,0.00027017291066282423,0.006202924235711121,1000_
gridss,100,C3H_HeJ,93.0,86.0,40.0,149,56.0,0.6241610738255033,0.5195530726256983,0.31746031746031744,0.5670731707317074,1000_
