tool,threshold,cov,n,nTP,nFP,nFN,nTN
breakdancer,100,0.1,1,0.0,1.0,3799.0,0.0
breakdancer,100,0.1,10,1.0,1.0,3798.0,0.0
breakdancer,100,0.1,2,0.0,3.0,3799.0,0.0
breakdancer,100,0.1,3,0.0,3.0,3799.0,0.0
breakdancer,100,0.1,4,0.0,2.0,3799.0,0.0
breakdancer,100,0.1,5,1.0,3.0,3798.0,0.0
breakdancer,100,0.1,6,0.0,2.0,3799.0,0.0
breakdancer,100,0.1,7,0.0,1.0,3799.0,0.0
breakdancer,100,0.1,8,1.0,0.0,3798.0,0.0
breakdancer,100,0.1,9,0.0,0.0,3799.0,0.0
breakdancer,100,0.5,1,31.0,42.0,3768.0,0.0
breakdancer,100,0.5,10,29.0,37.0,3770.0,0.0
breakdancer,100,0.5,2,24.0,36.0,3775.0,3.0
breakdancer,100,0.5,3,34.0,23.0,3765.0,0.0
breakdancer,100,0.5,4,29.0,34.0,3770.0,2.0
breakdancer,100,0.5,5,23.0,29.0,3776.0,0.0
breakdancer,100,0.5,6,17.0,43.0,3782.0,0.0
breakdancer,100,0.5,7,28.0,22.0,3771.0,2.0
breakdancer,100,0.5,8,39.0,29.0,3760.0,1.0
breakdancer,100,0.5,9,24.0,37.0,3775.0,1.0
breakdancer,100,1,1,121.0,79.0,3678.0,5.0
breakdancer,100,1,10,113.0,85.0,3686.0,5.0
breakdancer,100,1,2,112.0,76.0,3687.0,5.0
breakdancer,100,1,3,108.0,90.0,3691.0,5.0
breakdancer,100,1,4,116.0,96.0,3683.0,8.0
breakdancer,100,1,5,107.0,88.0,3692.0,6.0
breakdancer,100,1,6,92.0,68.0,3707.0,7.0
breakdancer,100,1,7,99.0,86.0,3700.0,7.0
breakdancer,100,1,8,100.0,86.0,3699.0,5.0
breakdancer,100,1,9,106.0,73.0,3693.0,8.0
breakdancer,100,16,1,1366.0,830.0,2433.0,561.0
breakdancer,100,16,10,1382.0,809.0,2417.0,575.0
breakdancer,100,16,2,1358.0,796.0,2441.0,575.0
breakdancer,100,16,3,1343.0,858.0,2456.0,566.0
breakdancer,100,16,4,1366.0,818.0,2433.0,563.0
breakdancer,100,16,5,1374.0,852.0,2425.0,572.0
breakdancer,100,16,6,1351.0,849.0,2448.0,570.0
breakdancer,100,16,7,1391.0,807.0,2408.0,581.0
breakdancer,100,16,8,1382.0,871.0,2417.0,592.0
breakdancer,100,16,9,1369.0,828.0,2430.0,564.0
breakdancer,100,2,1,333.0,222.0,3466.0,44.0
breakdancer,100,2,10,345.0,214.0,3454.0,53.0
breakdancer,100,2,2,362.0,197.0,3437.0,40.0
breakdancer,100,2,3,315.0,202.0,3484.0,49.0
breakdancer,100,2,4,355.0,200.0,3444.0,53.0
breakdancer,100,2,5,350.0,238.0,3449.0,59.0
breakdancer,100,2,6,347.0,194.0,3452.0,51.0
breakdancer,100,2,7,341.0,199.0,3458.0,39.0
breakdancer,100,2,8,349.0,208.0,3450.0,50.0
breakdancer,100,2,9,324.0,201.0,3475.0,52.0
breakdancer,100,32,1,1649.0,1241.0,2150.0,799.0
breakdancer,100,32,10,1681.0,1271.0,2118.0,786.0
breakdancer,100,32,2,1650.0,1256.0,2149.0,779.0
breakdancer,100,32,3,1676.0,1253.0,2123.0,797.0
breakdancer,100,32,4,1658.0,1252.0,2141.0,785.0
breakdancer,100,32,5,1672.0,1233.0,2127.0,811.0
breakdancer,100,32,6,1665.0,1237.0,2134.0,792.0
breakdancer,100,32,7,1667.0,1252.0,2132.0,778.0
breakdancer,100,32,8,1658.0,1264.0,2141.0,784.0
breakdancer,100,32,9,1678.0,1304.0,2121.0,790.0
breakdancer,100,4,1,712.0,393.0,3087.0,193.0
breakdancer,100,4,10,705.0,350.0,3094.0,178.0
breakdancer,100,4,2,687.0,403.0,3112.0,171.0
breakdancer,100,4,3,730.0,417.0,3069.0,199.0
breakdancer,100,4,4,706.0,402.0,3093.0,187.0
breakdancer,100,4,5,722.0,415.0,3077.0,182.0
breakdancer,100,4,6,697.0,409.0,3102.0,203.0
breakdancer,100,4,7,695.0,410.0,3104.0,179.0
breakdancer,100,4,8,700.0,426.0,3099.0,173.0
breakdancer,100,4,9,736.0,360.0,3063.0,189.0
breakdancer,100,8,1,1100.0,564.0,2699.0,381.0
breakdancer,100,8,10,1105.0,615.0,2694.0,379.0
breakdancer,100,8,2,1104.0,562.0,2695.0,388.0
breakdancer,100,8,3,1094.0,598.0,2705.0,392.0
breakdancer,100,8,4,1119.0,580.0,2680.0,395.0
breakdancer,100,8,5,1112.0,571.0,2687.0,365.0
breakdancer,100,8,6,1122.0,535.0,2677.0,389.0
breakdancer,100,8,7,1105.0,562.0,2694.0,398.0
breakdancer,100,8,8,1092.0,591.0,2707.0,381.0
breakdancer,100,8,9,1115.0,564.0,2684.0,396.0
delly,100,0.1,1,1.0,0.0,3798.0,0.0
delly,100,0.1,10,6.0,1.0,3793.0,0.0
delly,100,0.1,2,1.0,2.0,3798.0,0.0
delly,100,0.1,3,2.0,2.0,3797.0,0.0
delly,100,0.1,4,3.0,2.0,3796.0,0.0
delly,100,0.1,5,2.0,3.0,3797.0,0.0
delly,100,0.1,6,1.0,1.0,3798.0,0.0
delly,100,0.1,7,3.0,0.0,3796.0,0.0
delly,100,0.1,8,2.0,0.0,3797.0,0.0
delly,100,0.1,9,0.0,1.0,3799.0,0.0
delly,100,0.5,1,105.0,52.0,3694.0,6.0
delly,100,0.5,10,95.0,44.0,3704.0,4.0
delly,100,0.5,2,87.0,48.0,3712.0,3.0
delly,100,0.5,3,98.0,37.0,3701.0,2.0
delly,100,0.5,4,87.0,36.0,3712.0,7.0
delly,100,0.5,5,83.0,34.0,3716.0,3.0
delly,100,0.5,6,81.0,43.0,3718.0,2.0
delly,100,0.5,7,79.0,38.0,3720.0,1.0
delly,100,0.5,8,101.0,39.0,3698.0,6.0
delly,100,0.5,9,105.0,31.0,3694.0,7.0
delly,100,1,1,292.0,108.0,3507.0,19.0
delly,100,1,10,266.0,109.0,3533.0,25.0
delly,100,1,2,276.0,108.0,3523.0,24.0
delly,100,1,3,275.0,110.0,3524.0,22.0
delly,100,1,4,282.0,104.0,3517.0,33.0
delly,100,1,5,247.0,97.0,3552.0,17.0
delly,100,1,6,259.0,106.0,3540.0,27.0
delly,100,1,7,269.0,105.0,3530.0,26.0
delly,100,1,8,244.0,111.0,3555.0,21.0
delly,100,1,9,263.0,114.0,3536.0,25.0
delly,100,16,1,1860.0,1872.0,1939.0,722.0
delly,100,16,10,1874.0,1903.0,1925.0,738.0
delly,100,16,2,1877.0,1914.0,1922.0,743.0
delly,100,16,3,1873.0,1859.0,1926.0,735.0
delly,100,16,4,1869.0,1906.0,1930.0,737.0
delly,100,16,5,1882.0,1903.0,1917.0,741.0
delly,100,16,6,1854.0,1886.0,1945.0,730.0
delly,100,16,7,1850.0,1863.0,1949.0,727.0
delly,100,16,8,1854.0,1856.0,1945.0,727.0
delly,100,16,9,1877.0,1861.0,1922.0,727.0
delly,100,2,1,611.0,227.0,3188.0,139.0
delly,100,2,10,604.0,210.0,3195.0,142.0
delly,100,2,2,605.0,228.0,3194.0,133.0
delly,100,2,3,577.0,213.0,3222.0,132.0
delly,100,2,4,592.0,225.0,3207.0,129.0
delly,100,2,5,632.0,215.0,3167.0,138.0
delly,100,2,6,619.0,180.0,3180.0,134.0
delly,100,2,7,591.0,222.0,3208.0,115.0
delly,100,2,8,597.0,242.0,3202.0,132.0
delly,100,2,9,587.0,217.0,3212.0,134.0
delly,100,32,1,2217.0,3323.0,1582.0,794.0
delly,100,32,10,2217.0,3379.0,1582.0,789.0
delly,100,32,2,2238.0,3293.0,1561.0,828.0
delly,100,32,3,2212.0,3342.0,1587.0,810.0
delly,100,32,4,2228.0,3356.0,1571.0,814.0
delly,100,32,5,2211.0,3375.0,1588.0,802.0
delly,100,32,6,2209.0,3358.0,1590.0,806.0
delly,100,32,7,2205.0,3342.0,1594.0,787.0
delly,100,32,8,2219.0,3348.0,1580.0,820.0
delly,100,32,9,2208.0,3384.0,1591.0,808.0
delly,100,4,1,1006.0,398.0,2793.0,313.0
delly,100,4,10,1033.0,366.0,2766.0,327.0
delly,100,4,2,1016.0,401.0,2783.0,313.0
delly,100,4,3,1056.0,416.0,2743.0,351.0
delly,100,4,4,1021.0,378.0,2778.0,330.0
delly,100,4,5,1022.0,399.0,2777.0,341.0
delly,100,4,6,1001.0,420.0,2798.0,324.0
delly,100,4,7,1013.0,396.0,2786.0,317.0
