tool,threshold,strain,nTP,nFP,nTN,n_true,nFN,sensitivity,precision,specificity,f-score,len
mistrvar,100,A_J,27,86,0,52,25,0.5192307792307693,0.2389380630762002,1e-08,0.3272727443030303,50_100
pindel,100,A_J,32,8163,0,52,20,0.6153846253846155,0.0039048300121977972,1e-08,0.007760427344439168,50_100
smoove,100,A_J,15,25,0,52,37,0.28846154846153843,0.37500000990625,1e-08,0.3260869717414934,50_100
sniffles,100,A_J,3,10,0,52,49,0.0576923176923077,0.23076924059171597,1e-08,0.09230771269349074,50_100
breakdancer,100,A_J,0,0,0,52,52,1e-08,1e-08,1e-08,1.6666666666666667e-08,50_100
gasv,100,A_J,0,157,0,52,52,1e-08,1e-08,1e-08,1.6666666666666667e-08,50_100
platypus,100,A_J,0,0,0,52,52,1e-08,1e-08,1e-08,1.6666666666666667e-08,50_100
BioGraph*,100,A_J,0,0,0,52,52,1e-08,1e-08,1e-08,1.6666666666666667e-08,50_100
clever,100,C3H_HeJ,31,151,0,43,12,0.7209302425581395,0.17032968032031154,1e-08,0.2755555762680492,50_100
delly,100,C3H_HeJ,12,65,0,43,31,0.27906977744186046,0.15584416582391636,1e-08,0.20000001618750002,50_100
gridss,100,C3H_HeJ,17,91,0,43,26,0.3953488472093023,0.15740741739283265,1e-08,0.22516558067847894,50_100
indelminer,100,C3H_HeJ,4,27,0,43,39,0.09302326581395348,0.1290322680228928,1e-08,0.10810812348794757,50_100
lumpexpress,100,C3H_HeJ,17,38,0,43,26,0.3953488472093023,0.30909091903471075,1e-08,0.3469387906997085,50_100
mistrvar,100,C3H_HeJ,17,117,0,43,26,0.3953488472093023,0.12686568163232345,1e-08,0.19209041443423008,50_100
pindel,100,C3H_HeJ,25,10727,0,43,18,0.5813953588372094,0.0023251588095216467,1e-08,0.004631803731377803,50_100
smoove,100,C3H_HeJ,17,32,0,43,26,0.3953488472093023,0.34693878543940027,1e-08,0.3695652324149339,50_100
sniffles,100,C3H_HeJ,7,16,0,43,36,0.1627907076744186,0.3043478359546314,1e-08,0.21212122846648304,50_100
breakdancer,100,C3H_HeJ,0,0,0,43,43,1e-08,1e-08,1e-08,1.6666666666666667e-08,50_100
gasv,100,C3H_HeJ,0,272,0,43,43,1e-08,1e-08,1e-08,1.6666666666666667e-08,50_100
platypus,100,C3H_HeJ,0,1,0,43,43,1e-08,1e-08,1e-08,1.6666666666666667e-08,50_100
BioGraph*,100,C3H_HeJ,0,0,0,43,43,1e-08,1e-08,1e-08,1.6666666666666667e-08,50_100
clever,100,CBA_J,24,152,0,51,27,0.47058824529411764,0.1363636463558884,1e-08,0.21145376403248634,50_100
delly,100,CBA_J,13,76,0,51,38,0.2549019707843137,0.146067425713925,1e-08,0.18571430180612247,50_100
gridss,100,CBA_J,17,102,0,51,34,0.3333333433333333,0.14285715284513806,1e-08,0.20000001738823522,50_100
indelminer,100,CBA_J,6,48,0,51,45,0.1176470688235294,0.11111112109053498,1e-08,0.11428572928707503,50_100
lumpexpress,100,CBA_J,17,40,0,51,34,0.3333333433333333,0.29824562398276394,1e-08,0.3148148298319617,50_100
mistrvar,100,CBA_J,19,114,0,51,32,0.37254902960784314,0.1428571528464017,1e-08,0.20652175709829856,50_100
pindel,100,CBA_J,26,10137,0,51,25,0.5098039315686275,0.0025583097146486683,1e-08,0.005091081199845342,50_100
smoove,100,CBA_J,18,35,0,51,33,0.35294118647058825,0.3396226514453542,1e-08,0.3461538611261095,50_100
sniffles,100,CBA_J,11,12,0,51,40,0.21568628450980393,0.47826087935727785,1e-08,0.2972973144046749,50_100
breakdancer,100,CBA_J,0,0,0,51,51,1e-08,1e-08,1e-08,1.6666666666666667e-08,50_100
gasv,100,CBA_J,0,263,0,51,51,1e-08,1e-08,1e-08,1.6666666666666667e-08,50_100
platypus,100,CBA_J,0,3,0,51,51,1e-08,1e-08,1e-08,1.6666666666666667e-08,50_100
BioGraph*,100,CBA_J,0,0,0,51,51,1e-08,1e-08,1e-08,1.6666666666666667e-08,50_100
clever,100,DBA_2J,31,136,0,54,23,0.5740740840740741,0.18562875250385455,1e-08,0.2805430053342477,50_100
delly,100,DBA_2J,14,87,0,54,40,0.25925926925925924,0.13861387137241446,1e-08,0.18064517765785643,50_100
gridss,100,DBA_2J,18,113,0,54,36,0.3333333433333333,0.13740459014218284,1e-08,0.19459461218261495,50_100
indelminer,100,DBA_2J,7,43,0,54,47,0.12962963962962962,0.140000009972,1e-08,0.13461539962463034,50_100
lumpexpress,100,DBA_2J,16,43,0,54,38,0.2962963062962963,0.2711864506320023,1e-08,0.283185855712272,50_100
mistrvar,100,DBA_2J,27,119,0,54,27,0.50000001,0.18493151683664852,1e-08,0.2700000181604999,50_100
pindel,100,DBA_2J,33,9817,0,54,21,0.6111111211111112,0.0033502638071031972,1e-08,0.006664003826493603,50_100
smoove,100,DBA_2J,16,38,0,54,38,0.2962963062962963,0.2962963062414266,1e-08,0.29629631126886147,50_100
sniffles,100,DBA_2J,9,19,0,54,45,0.16666667666666665,0.3214285813137755,1e-08,0.21951221160321235,50_100
breakdancer,100,DBA_2J,0,0,0,54,54,1e-08,1e-08,1e-08,1.6666666666666667e-08,50_100
gasv,100,DBA_2J,0,232,0,54,54,1e-08,1e-08,1e-08,1.6666666666666667e-08,50_100
platypus,100,DBA_2J,0,1,0,54,54,1e-08,1e-08,1e-08,1.6666666666666667e-08,50_100
BioGraph*,100,DBA_2J,0,0,0,54,54,1e-08,1e-08,1e-08,1.6666666666666667e-08,50_100
clever,100,LP_J,24,112,0,46,22,0.5217391404347826,0.17647059822231834,1e-08,0.2637362823898079,50_100
delly,100,LP_J,15,55,0,46,31,0.32608696652173913,0.21428572425510206,1e-08,0.25862070527497033,50_100
gridss,100,LP_J,19,80,0,46,27,0.41304348826086956,0.19191920189980616,1e-08,0.2620689825032104,50_100
indelminer,100,LP_J,4,37,0,46,42,0.08695653173913043,0.09756098558596073,1e-08,0.09195403802748077,50_100
lumpexpress,100,LP_J,15,34,0,46,31,0.32608696652173913,0.30612245891711787,1e-08,0.315789488665928,50_100
mistrvar,100,LP_J,23,88,0,46,23,0.50000001,0.2072072171885399,1e-08,0.29299364812568457,50_100
pindel,100,LP_J,26,8472,0,46,20,0.5652174013043478,0.003059553421978042,1e-08,0.0060861720007950385,50_100
smoove,100,LP_J,16,33,0,46,30,0.3478260969565217,0.32653062217825907,1e-08,0.33684212024265936,50_100
sniffles,100,LP_J,7,12,0,46,39,0.15217392304347827,0.3684210624376731,1e-08,0.21538463293964488,50_100
breakdancer,100,LP_J,0,0,0,46,46,1e-08,1e-08,1e-08,1.6666666666666667e-08,50_100
gasv,100,LP_J,0,231,0,46,46,1e-08,1e-08,1e-08,1.6666666666666667e-08,50_100
platypus,100,LP_J,0,1,0,46,46,1e-08,1e-08,1e-08,1.6666666666666667e-08,50_100
BioGraph*,100,LP_J,0,0,0,46,46,1e-08,1e-08,1e-08,1.6666666666666667e-08,50_100
