,tool,threshold,strain,nTN
344,sniffles,100,A_J,392
345,sniffles,100,BALB_CJ,426
346,sniffles,100,C3H_HeJ,406
347,sniffles,100,CBA_J,420
348,sniffles,100,DBA_2J,449
349,sniffles,100,LP_J,366
350,sniffles,1000,AKR_J,411
351,sniffles,1000,A_J,396
352,sniffles,1000,BALB_CJ,427
353,sniffles,1000,C3H_HeJ,410
354,sniffles,1000,CBA_J,426
355,sniffles,1000,DBA_2J,454
356,sniffles,1000,LP_J,369
357,sniffles,10000,AKR_J,418
358,sniffles,10000,A_J,424
359,sniffles,10000,BALB_CJ,454
360,sniffles,10000,C3H_HeJ,437
361,sniffles,10000,CBA_J,464
362,sniffles,10000,DBA_2J,486
363,sniffles,10000,LP_J,382
